Threshold	0.5
originally	[0.09287523]
servant	[0.13770478]
chorus	[0.5742836]
remarkable_achievement	[0.18090915]
receive	[0.06955098]
burner	[0.6207794]
adequate	[0.06019917]
contracting	[0.03808332]
pound	[0.74416508]
urgent_action	[0.69984748]
laid	[0.09064259]
prices	[0.0775636]
ration	[0.41122907]
leland	[0.3706606]
1975	[0.09672804]
consciousness	[0.59756168]
require_va	[0.31443408]
beheading	[0.53094931]
relentless_pursuit	[0.38359575]
nba	[0.23795448]
dodge	[0.37139733]
ownership	[0.03407878]
increasingly	[0.07091933]
hatred	[0.11954751]
1993	[0.02158036]
contingency	[0.36993661]
national_championships	[0.58865004]
counteract	[0.18871235]
laws_passed_by_congress	[0.74086791]
vulnerable	[0.1048586]
predictability	[0.13577003]
basic_research	[0.11347727]
rears	[0.6882475]
dangerous_criminals	[0.639037]
plumbing	[0.06737233]
bigotry	[0.37042789]
gracious	[0.72684168]
joint_resolutions	[0.50804758]
june	[0.06976947]
102nd	[0.42942902]
oil_production	[0.12244968]
volunteer_hours	[0.34304286]
sidelines	[0.61328825]
liberators	[0.75994422]
addition	[0.01516285]
bethesda	[0.41172206]
cooperatives	[0.2266274]
thereupon	[0.45081158]
dortch	[0.12969024]
synonymous	[0.2122801]
outlets	[0.10555897]
mainers	[0.77135463]
success_story	[0.46630641]
success_stories	[0.58809868]
antifraud	[0.79760474]
robes	[0.93501982]
marquette	[0.20577663]
misdemeanors	[0.54158295]
sorties	[0.58216517]
mobilization	[0.3535868]
majored	[0.31908056]
cold_war	[0.38111038]
danger	[0.09633351]
exactly	[0.24425066]
point	[0.27763903]
pickup	[0.27361138]
3rd_class	[0.31470239]
doris	[0.16539794]
association	[0.00853408]
ellie	[0.69933945]
wrapping	[0.70148576]
going	[0.08846765]
detriment	[0.13051417]
curve	[0.54784984]
flavored_milk	[0.2262709]
benefited	[0.07515415]
290	[0.59764666]
why	[0.24376114]
cure	[0.17846654]
conveyance	[0.08912141]
cfo	[0.36929321]
trial_lawyers	[0.12369812]
roadways	[0.19181255]
cadets	[0.44673581]
institutional	[0.21729256]
mental_health	[0.03315701]
americans	[0.1296737]
dubbed	[0.58113676]
showcase	[0.15102487]
unequivocally_condemn	[0.69503341]
kin	[0.42699155]
exceeded	[0.19746736]
granger	[0.4925394]
access_to_affordable_healthcare	[0.8218167]
disruptions	[0.09385995]
unfair	[0.11843044]
solano_county	[0.09997156]
luxemburg	[0.09207287]
newly	[0.06066233]
442nd	[0.35035883]
repeal	[0.16510192]
kind_words	[0.65423502]
mortgage_insurance	[0.22237225]
convene	[0.1351502]
apostle	[0.20105369]
guardsmen	[0.46288599]
bailed	[0.78105959]
rental_assistance	[0.13156712]
renewable	[0.08188784]
nearby	[0.10740821]
cheyenne	[0.08544132]
matthew	[0.05562594]
kurdish	[0.36034234]
popular	[0.16281892]
congressional_review	[0.89097754]
sponsorship	[0.27717806]
no_child_left_inside_act	[0.21985073]
virtually_impossible	[0.60851621]
earthquakes	[0.12968445]
ken	[0.05274453]
irreparable_harm	[0.10729077]
important_priorities	[0.55040204]
lewis	[0.04929587]
suggested	[0.26005962]
dial	[0.69191988]
rochester	[0.19080757]
disposed	[0.27360857]
kake	[0.66517396]
digital	[0.02971236]
jayden	[0.08473005]
warn	[0.19846576]
reproductive_biology	[0.178793]
western_hemisphere	[0.08940172]
violating	[0.24178869]
650	[0.20550589]
social_engineering	[0.43477169]
fighting_fires	[0.23453842]
local_law_enforcement	[0.16951]
united_states_code	[0.45573197]
ectopic	[0.70728976]
sitting	[0.36686436]
floridians	[0.32745274]
accounting	[0.03981506]
negotiator	[0.42435019]
super_bowl	[0.33247581]
andrii	[0.4254741]
cwa	[0.23466018]
calculated	[0.37204895]
oversees	[0.02265664]
state_and_local_governments	[0.16156563]
candle	[0.16782914]
accomplishment	[0.1765918]
researched	[0.37219642]
freedom_and_liberty	[0.7608938]
fuel	[0.01548506]
open_space	[0.08303869]
leaf	[0.10253508]
sincerest_congratulations	[0.4195475]
2007	[0.03927942]
carried	[0.12453288]
11th	[0.2580129]
brownsville	[0.283564]
million_gallons	[0.13955946]
sbir	[0.04335172]
civil_division	[0.22654037]
404	[0.2734138]
heisman_trophy	[0.58682899]
making_america	[0.53831511]
offered	[0.08710361]
meddling	[0.38792279]
jammed	[0.76330753]
american_bar_association_unanimously_rated	[0.18232617]
ironically	[0.63886896]
discharges	[0.52699007]
commandant	[0.10496209]
stomach	[0.88924115]
northern_michigan	[0.19568306]
clemon	[0.12951438]
slip	[0.39154688]
sustained	[0.0323432]
squad	[0.24243172]
belongs	[0.44234499]
afscme	[0.44496938]
originally_intended	[0.63606806]
menthol	[0.23334522]
saddens	[0.81264262]
globe	[0.06328548]
tougher	[0.52480865]
operating_budget	[0.22184052]
greenhouse_gas	[0.11087721]
comer	[0.14195685]
biases	[0.48207214]
tell	[0.12681562]
underscores	[0.09653848]
mental_illness	[0.26696998]
warehouse	[0.31140795]
sopra	[0.65365895]
toiled	[0.70229617]
kathryn	[0.06585589]
chair	[0.03873094]
advertised	[0.27605217]
tremendous	[0.05892127]
inherit	[0.67415764]
concrete	[0.11868699]
4th	[0.08906943]
strong_faith	[0.79402093]
stake	[0.41720716]
choral	[0.16512477]
ana	[0.08318538]
loudoun	[0.05539554]
role_models	[0.69021261]
halifax_county	[0.3651878]
jewish_american_heritage_month	[0.6365867]
comforted	[0.76188782]
gould	[0.43051547]
kent	[0.06425415]
drown	[0.55222031]
landmark_legislation	[0.69404431]
innocent_palestinian_civilians	[0.6411097]
outreach	[0.04368574]
mackenzie	[0.29599775]
humankind	[0.4467885]
emerson	[0.23118099]
germany	[0.1716899]
pioneer	[0.05971404]
rounding	[0.92804163]
shuttered	[0.0757637]
contradiction	[0.31185121]
task_force	[0.05125424]
leisure	[0.46396195]
subsidiary	[0.12544393]
enablers	[0.69012769]
382	[0.39328409]
invested	[0.09851253]
bud	[0.34646895]
irgc	[0.82656608]
scene	[0.39187164]
committee_on_natural_resources	[0.10672883]
concerned_citizens	[0.17690824]
deeply_missed	[0.36117814]
district	[0.04191612]
moves_to_recommit	[0.07897404]
warner	[0.10723422]
fitness	[0.10280537]
withholding	[0.05130535]
grone	[0.33763588]
shipped	[0.16298664]
ob	[0.74056712]
lies_ahead	[0.4939632]
vaccine	[0.13033777]
conversations	[0.15661027]
tinsley	[0.43077376]
resoundingly	[0.51109912]
thankful	[0.12105888]
ignored	[0.43915376]
unacceptable	[0.27941921]
shadows	[0.50280915]
matt	[0.06314967]
disgusting	[0.45664636]
replace	[0.15195188]
annual_appropriations	[0.23949048]
bloated	[0.26183918]
selfless_service	[0.07544145]
innocent_children	[0.6036801]
randazzo	[0.59406165]
assistant	[0.07600331]
noncompliant	[0.18891081]
trans	[0.20782771]
efficient_and_effective	[0.41480004]
discretionary	[0.12318734]
charlotte	[0.23079811]
puco	[0.350534]
oversight_and_accountability	[0.09971026]
eradicate	[0.28280847]
raped	[0.41533663]
magaziner	[0.41418539]
spiked	[0.31309966]
leader_mcconnell	[0.55143277]
dining	[0.09605025]
regained	[0.70743627]
outer_continental_shelf	[0.06566399]
cookeville	[0.53699564]
beetle	[0.73133511]
houthis	[0.32651292]
famine	[0.44825578]
centralized	[0.31865326]
beloved_son	[0.20905164]
pleasant_hill	[0.14575163]
dedicated	[0.02078347]
shifted	[0.03393465]
keystone_pipeline	[0.42625844]
futures	[0.10224005]
asserted	[0.59581401]
complied	[0.39272698]
territories	[0.1502027]
heartfelt_appreciation	[0.21440626]
1548	[0.3669881]
introduce	[0.07909772]
filed_cloture	[0.55518338]
appeared	[0.11281527]
outpaced	[0.27688344]
studying	[0.09608228]
amendment_strikes	[0.07469529]
freezes	[0.12274408]
gunfire	[0.50759243]
personal_decision	[0.73598709]
gymnasiums	[0.60820753]
passes	[0.21982167]
airshows	[0.10904013]
turbines	[0.41860908]
dean	[0.04333361]
melvindale	[0.09058088]
flight	[0.08069314]
california_state_legislature	[0.21544017]
adjudicated	[0.72017693]
vice_president	[0.0747792]
strengths	[0.07578189]
stature	[0.46788825]
nominations	[0.0694359]
compliance	[0.0644411]
rights	[0.05924157]
ai	[0.17900778]
homeowner	[0.41835543]
340	[0.31814812]
central_american	[0.75194668]
135	[0.34687145]
calendar_days	[0.49984593]
egcs	[0.43480544]
along	[0.05939869]
contribution	[0.01999581]
cary	[0.42949465]
dashboard	[0.64281178]
preventable	[0.19478255]
flagship	[0.06663639]
american_dream	[0.07819725]
ii	[0.03859184]
accessory	[0.66199321]
real_challenges	[0.50160157]
thursday	[0.33785231]
denounces	[0.54637574]
regrettably	[0.27151522]
liberal_arts	[0.4343169]
higher_prices	[0.26711744]
parking_lot	[0.48826413]
lucille	[0.05938512]
scout	[0.37639057]
caseloads	[0.37467946]
dear	[0.08072677]
capito	[0.28659747]
dozens	[0.15162534]
routes	[0.1583121]
bona	[0.46496699]
countryside	[0.6562779]
assists	[0.14873195]
blue	[0.16118038]
mabel	[0.33746271]
edmund_pettus_bridge	[0.91384392]
virtually	[0.31407509]
impeachments	[0.90355463]
paying_attention	[0.60628575]
flo	[0.70638863]
pennsylvanians	[0.35417924]
regional_leadership_council	[0.49085898]
scams	[0.68017998]
deputy_director	[0.05080622]
mimic	[0.71025175]
olivia	[0.14765632]
exploded	[0.30952643]
increased_dramatically	[0.80342886]
disorder	[0.14280783]
educated	[0.18332154]
gamma	[0.25411226]
rural_county	[0.16210987]
delinquency	[0.19762138]
fixed_incomes	[0.6862547]
holman_rule	[0.42210743]
billion	[0.02363639]
notion	[0.37618289]
numbered	[0.27851751]
bravely_served	[0.40013855]
electoral	[0.2784798]
bragging	[0.50643972]
wildfires	[0.04239819]
seen	[0.14788306]
model	[0.03341368]
ucf	[0.21701584]
policies	[0.11678183]
shakespeare	[0.90500816]
spearheading	[0.07830717]
fundamental	[0.1326424]
investments	[0.03865768]
walk	[0.30518646]
stateside	[0.58801287]
barnaby	[0.2335227]
pregnancies	[0.60136613]
negatively_impacted	[0.29423528]
law_firm	[0.12199567]
civil_aviation	[0.04235705]
150th_anniversary	[0.07055595]
engagements	[0.43645065]
long_and_distinguished_career	[0.52076361]
remark	[0.90574851]
cowboys	[0.43589007]
nuclear_submarine	[0.54394671]
curtis	[0.04154832]
military_recruitment	[0.47381502]
crackdown	[0.4294618]
audiences	[0.18726237]
ears	[0.53482683]
grandparents	[0.25537137]
sad	[0.37091875]
player	[0.07129781]
open_and_transparent	[0.8480765]
power_plant	[0.46467865]
captagon	[0.0759615]
unparalleled	[0.09577874]
ceos	[0.25574026]
indebted	[0.55729968]
bar_association	[0.12781422]
penalizing	[0.73187242]
post	[0.04171562]
waged	[0.56538798]
powerless	[0.9237919]
crops	[0.01273431]
305	[0.36306957]
mexican	[0.08437795]
biological_males	[0.19970053]
aspiration	[0.78822328]
taxable	[0.12166117]
farmingdale	[0.4469248]
co2	[0.12861557]
arrivals	[0.71292528]
believed	[0.14036997]
housing_migrants	[0.73484724]
mcgarvey	[0.11295341]
claudia	[0.13756155]
ron	[0.07640346]
premise	[0.27670461]
dominates	[0.34894183]
receiving	[0.02545818]
gallon	[0.10836243]
dominion	[0.21006813]
tackles	[0.46472828]
rests	[0.46364989]
survivor	[0.25793207]
officials	[0.1216727]
seal_team	[0.28900496]
delegations	[0.26250789]
lethal_doses	[0.77805579]
skilled	[0.1297405]
parental_rights	[0.27416499]
hills	[0.22821813]
chemotherapy	[0.62049658]
energy_and_commerce_committee	[0.22284769]
gifts	[0.41520937]
higher_costs	[0.15349843]
deck	[0.39351249]
conduct_research	[0.02213623]
firefighting	[0.0707325]
signature	[0.67395604]
captivated	[0.55392759]
leveraging	[0.11064647]
87	[0.14606472]
stores	[0.05731808]
1981	[0.19913441]
longtime_supporter	[0.09372384]
gallantry	[0.35292586]
minimize	[0.0852238]
straits	[0.17915671]
sleeves	[0.53002563]
bakersfield	[0.10484452]
congresswomen	[0.64910134]
shaun	[0.39635829]
mile	[0.2186961]
rachael	[0.71220636]
triangle	[0.45460033]
weakening	[0.13270591]
streamline	[0.06697525]
jon	[0.09646202]
baseline	[0.10783207]
angry	[0.50478938]
main_street_america	[0.4686747]
demographic	[0.19598226]
tobacco	[0.04674311]
inland	[0.08979695]
committee_markup	[0.27544246]
boils	[0.79091684]
prepare_students	[0.20611357]
wave	[0.34768036]
corporate_polluters	[0.37440159]
approaches	[0.09479498]
public_health	[0.05162375]
photographs	[0.39629276]
wins	[0.25371408]
fort_wayne	[0.41256526]
home_program	[0.38655714]
outbreak	[0.33319554]
rating	[0.05583054]
ohio	[0.03222925]
frankie	[0.54052095]
channeled	[0.45670426]
armenia	[0.36758358]
script	[0.56454914]
weakness	[0.26306031]
affection	[0.41178304]
cried	[0.80772069]
receives	[0.04647026]
vietnam_era	[0.29958395]
several	[0.07965573]
judy	[0.35230636]
administration_refuses	[0.73309477]
platte_county	[0.45128936]
rory	[0.16008414]
ethanol	[0.0852782]
face	[0.08024344]
negotiation	[0.36713289]
donated	[0.04476827]
posterity	[0.85925731]
repealing	[0.36092593]
xi_jinping	[0.24152995]
paul	[0.02013314]
terror_watch_list	[0.76196764]
food_and_drug_administration	[0.11716395]
fiscal_responsibility	[0.11723417]
mcmillion	[0.27997983]
tip	[0.18569819]
evelyn	[0.15508421]
numerous_roles	[0.4061522]
envy	[0.21445995]
longstanding	[0.04140069]
prediabetes	[0.42804253]
auto_industry	[0.33430329]
land_mass	[0.57390247]
nh	[0.04694368]
maduro_regime	[0.54639316]
foreign_sources	[0.22436586]
indulge	[0.85243288]
probability	[0.22593626]
jesus_christ	[0.24008981]
ups	[0.22454768]
fellowship_program	[0.26318386]
legitimately	[0.43128612]
benson	[0.53978595]
recounted	[0.81844579]
obama	[0.19036732]
denounced	[0.43806118]
ends_meet	[0.58175768]
clothe	[0.12790713]
temporary_flight_restrictions	[0.40001333]
accompanied	[0.1438848]
accumulated	[0.12868403]
1903	[0.12065364]
et	[0.04237071]
travesty	[0.85916884]
urgent_national_security	[0.48546372]
occurred	[0.26626011]
loyal_friend	[0.45441485]
permanency	[0.3890107]
radio_station	[0.06867259]
algorithm	[0.24474711]
diaspora	[0.12331946]
lasting_peace	[0.74808657]
doorbell	[0.92529224]
continuous	[0.0606923]
post_offices	[0.44596536]
unborn_child	[0.54861446]
abundant_energy	[0.42465871]
smooth	[0.17286183]
roads	[0.10008826]
vaster	[0.30679862]
countries_of_concern	[0.39970535]
naacp	[0.05897416]
womb	[0.44251169]
clinical_trials	[0.09682863]
interpretations	[0.21646478]
nato	[0.10061567]
616	[0.2677814]
counties_with_unhealthy	[0.60078846]
cost_savings	[0.2620238]
pet_projects	[0.69576674]
retire	[0.06879455]
mountain_view	[0.18919411]
sending	[0.0682158]
vanherck	[0.30963434]
uva	[0.1753272]
guilty	[0.48331252]
counties	[0.03879936]
topped	[0.27747418]
anchorage	[0.29996347]
san_joaquin_valley	[0.18161661]
permitting_requirements	[0.19850698]
hundred	[0.21718124]
stream	[0.06792491]
overlooks	[0.26436297]
stunned	[0.62870107]
roseville	[0.05800926]
two	[0.08689373]
spills	[0.28748002]
awake	[0.91272081]
raft	[0.24530103]
nuclear_war	[0.69423818]
meaningful_legislation	[0.6958485]
du	[0.35864914]
halls	[0.22583103]
picket	[0.47572732]
anthony_fauci	[0.48705438]
diversity_bureaucrats	[0.3068061]
pfas_act	[0.26342581]
louisville	[0.11319615]
awaits	[0.60777357]
businessmen	[0.33828747]
tested	[0.33851198]
provider	[0.03292311]
startup	[0.15587731]
broad_coalition	[0.3626461]
filibuster	[0.70305155]
suspension	[0.19718643]
comment	[0.19189642]
unnecessary_spending	[0.3999913]
repayment	[0.44898265]
monitor	[0.040174]
overwhelming_evidence	[0.41487602]
yearslong	[0.62389382]
dear_colleague	[0.52389446]
box	[0.03327965]
consolidated_appropriations_act	[0.09312333]
drawdowns	[0.40787215]
strong_opposition	[0.16960704]
galloway	[0.4553702]
liver	[0.38885836]
massive_spending	[0.60681574]
fairs	[0.084429]
biofuels	[0.06253336]
warden	[0.36493342]
coconut_creek	[0.28807821]
athletic_excellence	[0.1738215]
gaslighting	[0.51280675]
maximize	[0.07522415]
escaped	[0.30593003]
cofounder	[0.10168151]
clarence	[0.32705643]
4820	[0.17853884]
national_rifle_association	[0.39195103]
recycling	[0.05383592]
spoken	[0.44008216]
substantial_evidence	[0.39146734]
workings	[0.06455846]
702	[0.60094507]
tigers	[0.31776173]
excluding	[0.31900882]
pencil	[0.29263295]
comments	[0.10382194]
ranking_member_wicker	[0.35937372]
ban_abortion	[0.79863712]
foster_children	[0.72863608]
constant	[0.06767704]
misunderstood	[0.82082612]
select	[0.19770274]
current_policy	[0.63991126]
informing	[0.03890675]
beverly	[0.29133917]
sectors	[0.04165885]
mold	[0.17870131]
reviews	[0.12525781]
associate_degree	[0.28734951]
legislative_history	[0.87381088]
resident	[0.07652918]
shepherd	[0.49346494]
id	[0.70264529]
arlington	[0.14645438]
91	[0.12669066]
punishment	[0.30107071]
supercomputing	[0.1372289]
revision	[0.41897818]
meaningfully	[0.1290431]
no	[0.08852781]
expel	[0.5813902]
solved	[0.69878108]
aides	[0.62370333]
senior_advisor	[0.24428505]
relocating	[0.2364994]
cole	[0.16844036]
reauthorization	[0.11521813]
persistence	[0.54002299]
restrict_act	[0.4461117]
honed	[0.61617424]
bea	[0.07967303]
posters	[0.70239613]
junior_high_school	[0.64847481]
philippine	[0.39917299]
basketball_player	[0.61440008]
omer	[0.4760093]
unprecedented_crisis	[0.62505891]
physical_and_mental	[0.6108592]
illegally_crossing	[0.80139929]
moderates	[0.96216622]
deployments	[0.11905665]
aired	[0.66602643]
appropriately	[0.25488615]
northwest_indiana	[0.04916403]
tranq	[0.22640491]
positioning	[0.18861203]
monopoly	[0.36633231]
jessica	[0.05704072]
restrictive	[0.54168905]
sincerely	[0.12537115]
universities	[0.07888276]
guarded	[0.58677086]
conversion	[0.08111298]
overhaul	[0.42242379]
highlands	[0.27611002]
fidel	[0.49703856]
depicting	[0.55454712]
wrongheaded	[0.74670198]
space_exploration	[0.43577483]
untenable	[0.34731242]
send_money	[0.34727794]
kiwanis	[0.32247084]
admirals_and_generals	[0.74691754]
pick	[0.11560701]
preferred	[0.1899215]
risk_management	[0.07502402]
oklahoma	[0.07567647]
power_outages	[0.42793147]
islamophobia	[0.4392878]
care_providers	[0.58261094]
instincts	[0.69660049]
perkins	[0.39999301]
excuses	[0.66009818]
prestage	[0.15140504]
executing	[0.2509638]
relations	[0.03948251]
alaska_railroad	[0.14350849]
law_enforcement	[0.24708658]
gall	[0.52497405]
foreign_intelligence_surveillance_act	[0.57678264]
ethnic_group	[0.63800148]
million_barrels_of_oil	[0.20517996]
birthright	[0.68155383]
epoch_times	[0.56026544]
special_statutory	[0.63760124]
indomitable	[0.44872474]
historically_marginalized	[0.21476841]
bucks_county	[0.24292314]
blinking_lights	[0.71178784]
ambushed	[0.55895411]
violent_acts	[0.4243322]
mansion	[0.30579309]
crystal_river	[0.15289851]
certification	[0.01958789]
depreciation	[0.23817444]
defied	[0.66585769]
international_financing	[0.31943098]
skier	[0.43138605]
davenport	[0.59945455]
rivkin	[0.75513181]
handcuffed	[0.70140992]
humanitarian_catastrophe	[0.63887745]
becerra	[0.36764363]
inspired_countless	[0.30750557]
tucker	[0.06375363]
plunge	[0.14031199]
ads	[0.27363582]
government_agency	[0.61262465]
national_intelligence	[0.19234181]
hhs	[0.07317249]
soared	[0.42697608]
black_history_month	[0.19975652]
unusual	[0.57689784]
white_lion	[0.74149891]
turning_point	[0.73658471]
countless_americans	[0.31854466]
prosecution	[0.08928939]
policy_solutions	[0.5627954]
conferees	[0.16663501]
interior_appropriations	[0.37535817]
forecast	[0.22717394]
coming	[0.16406907]
towering	[0.66736252]
episcopal_church	[0.2147535]
rescue	[0.05307705]
congresses	[0.76169815]
predictions	[0.65399128]
physics	[0.36613248]
child_abuse	[0.08304865]
221	[0.55111951]
reopen	[0.3872102]
hern	[0.22495378]
greater_kansas_city	[0.08481285]
proficient	[0.42003015]
picked	[0.50857418]
accurate_reporting	[0.37849164]
gentleman	[0.09271059]
committee_on_foreign_affairs	[0.11941329]
natural_state	[0.30327659]
discussing	[0.15317016]
united_states_district_judge_for	[0.06564133]
uighurs	[0.80034832]
chips_and_science	[0.47112634]
shorter	[0.71224597]
oral_arguments	[0.5180957]
final_point	[0.85298222]
aapi_community	[0.38824011]
sba	[0.08165263]
hsi	[0.70942464]
injunction	[0.48152048]
goldman	[0.71766036]
firm	[0.03255594]
documents	[0.19555981]
inaugural	[0.07622866]
carte	[0.84793273]
extended	[0.13158178]
noncitizen	[0.52291017]
organic	[0.04527393]
memorial_service	[0.45205404]
usace	[0.05341399]
240	[0.49372676]
readiness	[0.03288711]
complaints	[0.21486504]
judging	[0.12426843]
havana	[0.50367803]
material_support	[0.37575991]
ordinance	[0.2430118]
immune	[0.06602745]
international_food	[0.04315958]
lied	[0.12827499]
senior_pastor	[0.23732962]
destabilize	[0.20490039]
130	[0.13160386]
benjamin	[0.063716]
fortunately	[0.77600621]
unites	[0.37303507]
militaries	[0.52216701]
ice_cream	[0.12568768]
lew	[0.32636474]
sebastian	[0.13657374]
irvin	[0.54965921]
narrow_majority	[0.87668464]
ninety_percent	[0.36461833]
someone	[0.21047861]
judge_advocate	[0.29683708]
worsening	[0.23714786]
rules_of_procedure	[0.12343856]
predicts	[0.26213857]
stephen	[0.02684484]
department	[0.00722557]
drilling_on_federal_lands	[0.65992299]
utmost	[0.40304623]
interrupted	[0.30538356]
adjunct	[0.22490343]
newspaper	[0.1096255]
senior_living	[0.29117174]
ideals	[0.28770762]
resign	[0.55224915]
152	[0.2795741]
displaying	[0.36298971]
glynn	[0.18931783]
jubilee	[0.61600306]
civics	[0.18780821]
hugo	[0.26636914]
nlrb	[0.16028094]
jack	[0.02909124]
bipartisan_continuing_resolution	[0.43079104]
frances	[0.57989331]
ayanna_pressley	[0.44422852]
alice	[0.24535271]
hugely	[0.25918347]
negatively_affect	[0.5647689]
broad	[0.1104923]
terror_attacks	[0.40225536]
cult	[0.53536329]
unwavering_faith	[0.55214401]
into	[0.03577243]
devoted_husband	[0.44935237]
east_bay	[0.09353081]
vadm	[0.21717015]
va_facility	[0.41761368]
schweikert	[0.41338464]
environmentalists	[0.18058949]
translating	[0.37738253]
item	[0.33666806]
sidewalk	[0.58423857]
resource_center	[0.24891977]
ceded	[0.39038636]
priests	[0.76430703]
bible_college	[0.22123255]
27th_congressional	[0.40669567]
councilmember	[0.37312565]
scheduler	[0.70996114]
recruitment	[0.16151168]
breathing	[0.52598896]
reilly	[0.39489681]
missing_and_exploited_children	[0.20062345]
depleting	[0.67832682]
purse	[0.63099523]
sioux	[0.20621689]
minority_populations	[0.50866452]
invoke_cloture	[0.09749308]
17	[0.07044153]
evade	[0.28210665]
158	[0.50359695]
jobs_act	[0.33588902]
deferred_action_for_childhood_arrivals	[0.6006727]
outset	[0.65479303]
graduate_from_high_school	[0.74586966]
blaming	[0.41321189]
interagency	[0.04890041]
catholic_charities	[0.34268068]
email	[0.21915736]
treason	[0.68640021]
ethos	[0.49069932]
lowest_levels	[0.47346565]
million_households	[0.45812444]
cardinal	[0.44166976]
alarmingly	[0.74304722]
relationships	[0.15096381]
historic_investments	[0.25293691]
homage_to_outstanding_women	[0.52451891]
income	[0.05577786]
complete	[0.09153813]
apprehending	[0.69749877]
brighton	[0.29638419]
clean_air	[0.21815069]
wealthy_individuals	[0.80662379]
access_care	[0.38611677]
growers	[0.00883883]
extend	[0.07725817]
representative_mike	[0.09781883]
evolved	[0.11216614]
insufficient	[0.14069083]
underground	[0.14685643]
unconstitutionally	[0.76468559]
commitment_to_providing_quality	[0.04166463]
taxation	[0.28900272]
designee	[0.08276002]
joey	[0.4997516]
detailed_information	[0.52915842]
urgent	[0.06225081]
gem_state	[0.18690707]
participation_rate	[0.25989464]
underfunded	[0.32864032]
preserving	[0.0444641]
covid_funds	[0.49095655]
435	[0.88418117]
npr	[0.30331722]
promoter	[0.25562935]
partner	[0.01867627]
restoration	[0.02435676]
exponentially	[0.33121471]
unprepared	[0.5046135]
allotted	[0.55835074]
structured_rule	[0.1000917]
hijack	[0.49003397]
1217	[0.15728008]
promulgate	[0.30278116]
servicemen_and_servicewomen	[0.74022782]
repaid	[0.37704676]
retail	[0.03526551]
peninsula	[0.04331359]
teaches	[0.11631242]
whims	[0.51389317]
hear_firsthand	[0.27677423]
historic_occasion	[0.66853542]
statistics	[0.14953898]
evening	[0.35383983]
fuels	[0.05327459]
paragraphs	[0.71625825]
mission	[0.02669382]
impeachable	[0.76199075]
fiscal_reforms	[0.85472507]
million_children	[0.17000248]
current_law	[0.3439492]
outlet	[0.22468102]
climb	[0.12894491]
smuggled	[0.26669407]
failures	[0.0712087]
hamlin	[0.82173202]
backfill	[0.21014931]
rogers	[0.0619608]
furthers	[0.16883028]
haney	[0.07217734]
dominic	[0.15932433]
occupation	[0.17183124]
supreme_leader	[0.28401287]
critical_safety	[0.57255654]
underwriting	[0.19056227]
montgomery	[0.25173125]
exceedingly	[0.3249485]
bernice	[0.63959949]
suffers	[0.1669177]
solemn_duty	[0.93486099]
passports	[0.82823869]
selectively	[0.79431079]
million_homes	[0.19323453]
thank	[0.04556131]
msu	[0.21657753]
outstanding_accomplishments	[0.30763841]
northern_district	[0.11715891]
era	[0.30657324]
testosterone	[0.67571575]
chair_rodgers	[0.18239645]
firehouse	[0.48454969]
collateral	[0.85604567]
jeannie	[0.34260416]
resolution_condemns	[0.69519838]
challenges_faced	[0.30635417]
foreign_oil	[0.24599243]
recruitment_and_retention	[0.34935433]
irvine	[0.04311629]
fredericksburg	[0.22392162]
tremendous_progress	[0.79678009]
ineligible	[0.44628252]
parcel	[0.27903954]
causey	[0.3528004]
recklessness	[0.57078275]
artistic	[0.08973675]
epitomizes	[0.56195548]
relationship	[0.06323268]
hold	[0.06861096]
revered	[0.2302677]
intermediaries	[0.32585651]
lying	[0.27155414]
collector	[0.43254283]
ripping	[0.39969944]
councilwoman	[0.34658477]
camp_pendleton	[0.19756163]
eagles	[0.20207802]
security	[0.02156796]
jennie	[0.09021728]
tossed	[0.5420785]
tents	[0.59984521]
discretionary_spending	[0.28430208]
beef	[0.01047161]
lost	[0.11610689]
tule_river	[0.2863881]
interestingly	[0.63482622]
hurdle	[0.59909299]
clean_cooking	[0.08369435]
deployment	[0.03859776]
fda	[0.08052206]
maxwell_air_force_base	[0.24170411]
forever_grateful	[0.26489669]
coined	[0.51748182]
commemorative	[0.29688611]
garage	[0.57305079]
advantages	[0.28248227]
learning_center	[0.22228052]
escalated	[0.57317727]
nonexistent	[0.631141]
received	[0.01877275]
valerie	[0.42851604]
ty	[0.14156219]
heavenly	[0.38843555]
critical_programs	[0.26887416]
struggling_to_make_ends_meet	[0.42306409]
ramirez	[0.05770757]
expertly	[0.75244836]
reduce_greenhouse_gas_emissions	[0.38199498]
cassidy	[0.20207281]
global_demand	[0.24653381]
innovative_programs	[0.21369124]
motive	[0.63129587]
uplifted	[0.37277622]
ban_gas_stoves	[0.33567629]
gather	[0.08777696]
detection	[0.06489646]
ross	[0.0202478]
ccc	[0.04946841]
disagreements	[0.79268683]
sutton	[0.1122995]
praising	[0.52578528]
service_weapon	[0.4413254]
duncan	[0.05166267]
proceeding	[0.20403949]
bankroll	[0.70733801]
great_things	[0.2403421]
confess	[0.93426306]
king_county	[0.14795847]
wind_energy	[0.02062909]
aligns	[0.29887007]
fires	[0.03110012]
collegiate	[0.14523572]
judith	[0.18966821]
rededicate	[0.6957471]
offered_amendments	[0.63576682]
longtime_friend	[0.1561789]
criminal_justice	[0.09601294]
keys	[0.18902571]
article_ii	[0.24819333]
rival	[0.47884173]
doj	[0.27999703]
pfc	[0.12724545]
